Fri Mar 26 15:16:44 PDT 2021
Enter the minimum radius (cm): r=5.000000e-01
Enter the diffusion coefficient (cm^2/s): D=1.560000e+00
Enter the domain width/height (cm): L=2.025000e+01
Enter the reaction rate (Hz): kap=1.000000e+01
Enter the number of trials: niter=250

running simulation...
simulation complete!

Printing Inputs...
r=5.000000e-01
D=1.560000e+00
L=2.025000e+01
kappa=1.000000e+01
dt=1.000000e-05

Printing Outputs...
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,1.43796e+00,1.43796e+00,1.43796e+00,1.43796e+00,1.43796e+00,1.43796e+00,1.07418e+00,1.07418e+00,1.07418e+00,1.07418e+00,1.07418e+00,1.07418e+00,1.07418e+00,1.07418e+00,1.07418e+00,1.07418e+00,7.28100e-01,1.61030e-01,1.61030e-01,1.61030e-01,1.61030e-01,1.61030e-01,1.61030e-01,1.61030e-01,1.61030e-01,1.61030e-01,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,8.94600e-02,6.68000e-02,6.68000e-02,6.68000e-02,5.51000e-03,5.51000e-03,5.51000e-03,5.51000e-03,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.13630e-01,1.06410e-01,1.06410e-01,1.06410e-01,1.06410e-01,1.06410e-01,1.06410e-01,1.06410e-01,1.06410e-01,1.06410e-01,1.06410e-01,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,4.83200e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,2.71300e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,6.02960e-01,6.02960e-01,6.02960e-01,6.02960e-01,6.02960e-01,5.23670e-01,5.23670e-01,5.23670e-01,5.23670e-01,5.23670e-01,5.23670e-01,5.23670e-01,5.23670e-01,3.14230e-01,3.14230e-01,3.14230e-01,3.14230e-01,3.14230e-01,3.14230e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,2.37090e-01,1.46370e-01,1.46370e-01,1.46370e-01,1.46370e-01,1.46370e-01,1.46370e-01,1.46370e-01,1.77900e-02,1.77900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,1.06900e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,2.69000e-03,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,1.78169e+00,1.78169e+00,1.78169e+00,1.78169e+00,1.78169e+00,1.78169e+00,6.55920e-01,6.55920e-01,6.55920e-01,6.55920e-01,4.22800e-01,3.33680e-01,3.33680e-01,3.33680e-01,3.33680e-01,3.33680e-01,3.33680e-01,3.33680e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,2.82670e-01,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,8.65400e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.17670e-01,5.12970e-01,5.12970e-01,5.12970e-01,4.85550e-01,4.85550e-01,4.85550e-01,4.85550e-01,4.85550e-01,4.85550e-01,4.85550e-01,3.40280e-01,3.40280e-01,3.40280e-01,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,3.89400e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,2.43948e+00,2.43948e+00,2.43948e+00,2.43948e+00,2.43948e+00,2.43948e+00,2.43948e+00,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,8.33600e-02,4.59600e-02,4.59600e-02,2.75800e-02,2.75800e-02,2.75800e-02,2.75800e-02,2.75800e-02,1.02000e-02,1.02000e-02,1.02000e-02,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,9.68000e-03,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,1.06106e+00,1.06106e+00,1.06106e+00,1.06106e+00,1.06106e+00,1.06106e+00,1.06106e+00,1.06106e+00,1.01115e+00,1.01115e+00,1.01115e+00,1.01115e+00,1.01115e+00,1.01115e+00,1.01115e+00,6.66100e-01,6.66100e-01,6.66100e-01,5.70290e-01,5.70290e-01,5.70290e-01,5.70290e-01,5.70290e-01,5.70290e-01,5.70290e-01,2.56450e-01,2.56450e-01,2.56450e-01,2.56450e-01,2.56450e-01,2.56450e-01,2.56450e-01,2.56450e-01,2.56450e-01,2.56450e-01,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,4.68500e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,1.04993e+00,1.04993e+00,1.04993e+00,1.04993e+00,1.04993e+00,1.04993e+00,1.04993e+00,8.84340e-01,8.84340e-01,8.84340e-01,8.84340e-01,8.84340e-01,8.84340e-01,8.84340e-01,4.60880e-01,4.60880e-01,4.60880e-01,4.60880e-01,4.60880e-01,4.60880e-01,4.60880e-01,4.60880e-01,3.27600e-01,3.27600e-01,3.27600e-01,3.27600e-01,3.27600e-01,3.27600e-01,3.27600e-01,3.27600e-01,2.39190e-01,2.39190e-01,9.12600e-02,9.12600e-02,9.12600e-02,9.12600e-02,9.12600e-02,9.12600e-02,9.12600e-02,9.12600e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.73400e-02,1.37300e-02,1.37300e-02,1.37300e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,3.11660e-01,2.98990e-01,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,9.86700e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,2.04900e-02,
